area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,roi
73048,549159,0.133017942,20562.97863,949,849,7869,13,969.0114136,443.507782,128.2162018,0.889111336,2021.10.11-16.19.36_RaspiY_side3_cameraA
44206,645272.5,0.068507491,20155.30312,1000,807,7264,10,796.3789063,476.5678101,119.5582581,0.801183743,2021.10.11-15.49.32_RaspiY_side5_cameraA
65168,764177,0.085278672,22583.74986,1206,882,8872,9,155629.5938,8477.685547,31.65161324,0.998515218,2021.10.11-14.37.04_RaspiY_side6_cameraA
69066,576765.5,0.119747107,8338.879468,949,849,7876,21,856.2738647,441.1262207,130.5960541,0.857088289,2021.10.11-16.05.28_RaspiY_side6_cameraA
54351,523105.5,0.103900647,11690.00367,963,812,6511,10,843.559021,470.3841248,119.0481949,0.830097342,2021.10.11-15.12.33_RaspiY_side7_cameraA
102782,632558,0.162486286,16030.47663,1004,820,6892,12,610.8566284,553.8112183,139.1888885,0.421960799,2021.10.11-15.21.41_RaspiY_side1_cameraA
42516,599442.5,0.070925902,23901.66872,1215,781,8510,18,1251.743042,550.9954834,105.1642914,0.897908289,2021.10.11-15.18.36_RaspiY_side5_cameraA
32655,698838.5,0.046727534,16199.905,1142,875,8016,12,1278.516846,489.6603394,113.7904434,0.923752108,2021.10.11-15.49.32_RaspiY_side3_cameraA
87032,486098,0.179042086,27448.59266,1013,797,6453,16,835.9781494,486.4558105,110.6564026,0.813260238,2021.10.11-16.19.36_RaspiY_side4_cameraA
61559,662464.5,0.092924225,11814.14929,1273,802,9150,17,1217.219482,645.703125,118.3716965,0.84770129,2021.10.11-15.18.36_RaspiY_side4_cameraA
99473,521674.5,0.190680204,26001.40247,987,795,6716,16,819.9501343,489.013031,108.7416306,0.802692125,2021.10.11-15.25.56_RaspiY_side1_cameraA
72257,421135,0.17157681,11266.16769,971,781,6747,11,1313.057495,863.1229248,0,0.753595658,2021.10.11-14.31.38_RaspiY_side1_cameraA
75075,660419,0.113677832,24239.92941,1157,864,8344,13,839.8570557,641.3702393,70.71735382,0.645611579,2021.10.11-14.30.31_RaspiY_side4_cameraA
63907,586082.5,0.109040963,16743.4003,956,823,7092,11,1194.50061,501.0463867,107.9737091,0.907773371,2021.10.11-16.05.28_RaspiY_side3_cameraA
87824,429546.5,0.204457492,11152.22596,1007,718,7133,13,656.527832,462.2522583,102.4732056,0.710114405,2021.10.11-15.14.53_RaspiY_side2_cameraA
92854,685181.5,0.135517378,13369.49965,963,851,8322,16,988.1966553,415.8437195,117.1641846,0.907148478,2021.10.11-15.34.59_RaspiY_side1_cameraA
112806,501644,0.224872619,12999.58189,962,809,6769,13,819.5133057,413.5314636,119.0986633,0.863349652,2021.10.11-15.35.56_RaspiY_side2_cameraA
27406,524007.5,0.052300778,19314.79362,968,843,6257,11,950.9827271,560.7996216,55.56606674,0.807618459,2021.10.11-14.09.07_RaspiY_side6_cameraA
72288,453564.5,0.159377553,12060.60481,958,759,6788,13,631.0697632,506.0256653,101.7137222,0.597520326,2021.10.11-14.37.04_RaspiY_side1_cameraA
103559,509643,0.203199102,14950.16126,914,829,7228,13,752.3939819,473.7322998,92.05044556,0.776892475,2021.10.11-14.46.37_RaspiY_side3_cameraA
29151,556714,0.052362613,14400.10626,964,846,6527,11,649.8414917,584.4735107,102.8930969,0.437107343,2021.10.11-15.10.04_RaspiY_side4_cameraA
125953,520703.5,0.241890058,11601.09877,958,733,6941,15,685.4896851,504.7676086,98.80242157,0.676589269,2021.10.11-16.05.28_RaspiY_side1_cameraA
123707,469862.5,0.263283407,17413.26323,843,818,6147,13,727.1744995,443.0825195,81.90798187,0.792923836,2021.10.11-15.11.10_RaspiY_side6_cameraA
78072,700740.5,0.111413569,12314.48636,1022,834,8504,11,849.0067749,467.0477905,109.2847824,0.835091681,2021.10.11-15.19.31_RaspiY_side5_cameraA
42202,404313.5,0.104379399,16804.07253,952,844,6878,11,996.4987183,377.1894531,110.9332199,0.925595263,2021.10.11-15.10.04_RaspiY_side3_cameraA
36884,402470,0.091644098,8998.356256,776,916,6425,14,1198.593994,394.7023926,129.8186035,0.944223781,2021.10.11-16.11.52_RaspiY_side7_cameraA
67259,308420,0.218076,14672.21671,631,805,5857,14,558.2565918,494.4606323,138.2078705,0.464214382,2021.10.11-15.01.33_RaspiY_side2_cameraA
90006,419734,0.214435809,10997.07484,845,853,6789,15,770.4926147,459.8943481,124.1033173,0.802327899,2021.10.11-15.40.25_RaspiY_side5_cameraA
65230,666228,0.097909424,14585.45889,1156,925,7498,15,929.4907227,638.1695557,84.31877899,0.727054452,2021.10.11-16.16.36_RaspiY_side7_cameraA
100167,541629.5,0.184936382,28772.50073,1030,855,5786,16,740.8393555,445.5923157,123.3567657,0.798895724,2021.10.11-14.41.04_RaspiY_side4_cameraA
58224,380835,0.152885108,12830.57881,832,869,6610,12,688.2547607,475.9045715,113.6779785,0.722409276,2021.10.11-16.20.59_RaspiY_side3_cameraA
59962,379054,0.158188543,13320.04178,698,825,5692,13,761.9362793,610.4829102,25.36148453,0.598362279,2021.10.11-14.58.31_RaspiY_side1_cameraA
165906,616752,0.268999533,28213.28669,967,887,6453,13,691.8651733,588.4360352,27.89248466,0.52596405,2021.10.11-15.08.12_RaspiY_side2_cameraA
158885,472774.5,0.33606931,9421.177573,883,845,6956,14,724.6276855,504.04953,85.22103882,0.718431275,2021.10.11-15.14.53_RaspiY_side7_cameraA
47572,489085,0.097267346,11449.16571,1039,821,6702,11,948.3366699,866.015564,32.04930878,0.407524625,2021.10.11-15.42.35_RaspiY_side1_cameraA
109483,438754.5,0.249531344,27350.49001,965,742,6740,22,849.276001,507.4424133,117.8260803,0.801868908,2021.10.11-15.48.22_RaspiY_side1_cameraA
86714,501243.5,0.172997755,8456.158763,1135,802,7980,24,1084.144043,480.4728088,106.228508,0.896431801,2021.10.11-15.53.08_RaspiY_side2_cameraA
73842,474899,0.155489904,12893.71763,962,757,6458,11,646.371582,393.858429,107.1122894,0.792910991,2021.10.11-14.53.25_RaspiY_side4_cameraA
46202,573602,0.080547139,14946.09938,1115,846,7205,9,1409.426147,535.3840942,115.7822571,0.92504414,2021.10.11-15.21.41_RaspiY_side7_cameraA
41808,557880,0.074940847,13557.45193,920,855,6727,13,689.3807373,459.9416199,138.7454224,0.744895782,2021.10.11-15.51.39_RaspiY_side3_cameraA
